,num_words,use_tfidf,model,accuracy,precision,recall,f1,auc
90,460,True,log,0.552758078746416,0.7381013836120492,0.26532392478905487,0.39032870898351457,0.689527184000934
91,460,True,tree100,0.5524246058970845,0.5829796784714302,0.599149816015364,0.5909536664792212,0.5219668430869661
92,470,True,log,0.5518497574687864,0.7388451217836207,0.25995862927355146,0.3845700075166155,0.6895118109819647
93,470,True,tree100,0.5517522067409675,0.5817447537292812,0.5972015101175311,0.5893695791674801,0.5210522206259292
94,480,True,log,0.5534612519767421,0.74110058613678,0.2649291955408255,0.39031232813747774,0.6842619346642075
95,480,True,tree100,0.5544041395188182,0.5850808991767952,0.5986140403736064,0.5917584653432935,0.517893551956919
96,490,True,log,0.5538653979099838,0.7386416677622346,0.26630475759632055,0.3914656268834617,0.6901193023164836
97,490,True,tree100,0.5544585896181378,0.5845587220854838,0.5986277614416045,0.5915055173893553,0.5201297652082864
98,500,True,log,0.5549030062047191,0.7397414230312372,0.27453304328257444,0.40044576030227674,0.6895220803313797
99,500,True,tree100,0.5557965279508521,0.5873101347797294,0.604020703623134,0.5955396717121146,0.5252714215224036
100,510,True,log,0.5561023261572814,0.7388752434670356,0.274676174368392,0.40045478308131327,0.6926080513018678
101,510,True,tree100,0.5557856576527731,0.5863939569434097,0.6007281650104364,0.5934625710871935,0.522496832930459
102,520,True,log,0.5574610571125184,0.7424937179003582,0.27625984654847136,0.4026699862670807,0.6945876869928794
103,520,True,tree100,0.5562268255627489,0.5868153465352275,0.602129346601333,0.594370806884249,0.5205548600039116
104,530,True,log,0.5572862574272218,0.7384592520633836,0.27934658840752274,0.4053242939501252,0.6900120926199333
105,530,True,tree100,0.5556791251088387,0.5865563756542843,0.6009678574128172,0.5936727827811763,0.5300743496213903
106,540,True,log,0.5577253845806558,0.7388595830858067,0.27806199217574484,0.404051499501182,0.6935246834337467
107,540,True,tree100,0.5562082442436245,0.5865248872733752,0.599699067108035,0.5930364221276873,0.5280171356529366
108,550,True,log,0.5551635858175551,0.7373056181932396,0.27385493317314913,0.3993615536413986,0.6871728264501766
109,550,True,tree100,0.5541985137127851,0.5853470158051207,0.5983931521249437,0.5917966730336436,0.5242363536776384
110,560,True,log,0.5581501096469742,0.7392563717415218,0.2825161193582246,0.40878063616982707,0.6877717796102529
111,560,True,tree100,0.5574852567248121,0.5885326022759869,0.6036287299445193,0.5959820764513648,0.5265789807443935
112,570,True,log,0.5584281725472906,0.7378129026441582,0.28146979260595134,0.40747473173264065,0.6921048546696601
113,570,True,tree100,0.5572526922033455,0.5875768787213494,0.6013826269912834,0.5943947152868694,0.5270636308715089
114,580,True,log,0.561414481093458,0.7425598154316282,0.28666486075962727,0.4136183321306281,0.6929746399448162
115,580,True,tree100,0.557045959391053,0.5878957697709343,0.5992371238275449,0.5935073770812981,0.5214768405151842
116,590,True,log,0.5611167320721595,0.7423284807430748,0.2861132338885924,0.4130125080319164,0.6980204339867498
117,590,True,tree100,0.5562542665686643,0.5868314127309874,0.6007868221852004,0.5937232781362373,0.5253282317437266
118,600,True,log,0.5593990731634468,0.7410921007404172,0.2811612643111244,0.40764374833568945,0.6948172864450677
119,600,True,tree100,0.5564171331587254,0.5869139476682093,0.5989570458950093,0.5928684163235446,0.5202569500870712
120,610,True,log,0.5593521142200752,0.739759534552282,0.2846067331483842,0.4110590988763276,0.6853981839370263
121,610,True,tree100,0.5550415082398926,0.5863916568739393,0.599055259803554,0.5926482320903719,0.5199661501471713
122,620,True,log,0.560102726865391,0.7401952915386694,0.2844698107539802,0.41092804778187475,0.6951802300507932
123,620,True,tree100,0.5572831775329449,0.5876293647047314,0.6013217182337038,0.5943908860049456,0.5269764282410196
124,630,True,log,0.5606179680684478,0.7392634438207522,0.286701061427489,0.41315353854390685,0.6974160022351397
125,630,True,tree100,0.556850831713113,0.5878444131668008,0.5974740882189455,0.59261868966404,0.5255123491755144
126,640,True,log,0.5615927702356476,0.7428809158424543,0.28722776609705936,0.4142494969332386,0.6890017430778491
127,640,True,tree100,0.5559228126772344,0.5870852741153709,0.5975509195199052,0.5922594860143902,0.5254342547467685
128,650,True,log,0.5610319085903028,0.7423086817754941,0.28466736747259347,0.4115068108045229,0.6938630553930558
129,650,True,tree100,0.5540197805429045,0.5849397477164626,0.5952695599939931,0.5900537723263266,0.5224621245104923
130,660,True,log,0.5604818504834548,0.7415254174780717,0.2853158651387825,0.41205644166066924,0.6956926577998835
131,660,True,tree100,0.5562237768326052,0.5873615145342611,0.5984315336697154,0.5928379271892732,0.5309205126027473
132,670,True,log,0.5642057176517815,0.7432545210498123,0.29578103725789845,0.4231435003356398,0.6926532245826578
133,670,True,tree100,0.5578037605551931,0.5893220830399507,0.5994548541874226,0.5943434599315459,0.5256237950899998
134,680,True,log,0.5649805916720838,0.7454843137516856,0.2937530672858835,0.42141217043033363,0.6980173162629963
